run_id,f,beta,theta_deg,mach_number,seed,bfield_geometry,outcome,fragmented,morphology,lambda_W,lambda_W_err,t_frag_tJ,beading_window_tJ,n_peaks_max,wall_sec,hgbs_match
TAG_f1p0_b1p0_t90_m1p5_s5,1.0,1.0,90,1.5,5,perpendicular,FRAG_KILL,False,RADIAL_ONLY,,,0.4971,,0,150.2,False
TAG_f1p0_b1p0_t90_m2p0_s1,1.0,1.0,90,2.0,1,perpendicular,FRAG_KILL,False,RADIAL_ONLY,,,0.4964,,0,150.2,False
TAG_f1p0_b1p0_t90_m2p0_s2,1.0,1.0,90,2.0,2,perpendicular,FRAG_KILL,False,RADIAL_ONLY,,,0.4961,,0,150.2,False
TAG_f1p0_b1p0_t90_m2p0_s3,1.0,1.0,90,2.0,3,perpendicular,FRAG_KILL,False,RADIAL_ONLY,,,0.4958,,0,140.2,False
TAG_f1p0_b1p0_t90_m2p0_s4,1.0,1.0,90,2.0,4,perpendicular,FRAG_KILL,False,RADIAL_ONLY,,,0.4914,,0,130.1,False
TAG_f1p0_b1p0_t90_m2p0_s5,1.0,1.0,90,2.0,5,perpendicular,FRAG_KILL,False,RADIAL_ONLY,,,0.494,,0,140.2,False
TAG_f1p0_b1p0_t90_m2p5_s1,1.0,1.0,90,2.5,1,perpendicular,FRAG_KILL,False,RADIAL_ONLY,,,0.4904,,0,140.1,False
TAG_f1p0_b1p0_t90_m2p5_s2,1.0,1.0,90,2.5,2,perpendicular,FRAG_KILL,False,RADIAL_ONLY,,,0.4972,,0,160.2,False
TAG_f1p0_b1p0_t90_m2p5_s3,1.0,1.0,90,2.5,3,perpendicular,FRAG_KILL,False,RADIAL_ONLY,,,0.529,,0,350.4,False
TAG_f1p0_b1p0_t90_m2p5_s4,1.0,1.0,90,2.5,4,perpendicular,FRAG_KILL,False,RADIAL_ONLY,,,0.5241,,0,410.4,False
TAG_f1p0_b1p0_t90_m2p5_s5,1.0,1.0,90,2.5,5,perpendicular,FRAG_KILL,False,RADIAL_ONLY,,,0.5002,,0,220.2,False
TAG_f1p0_b1p0_t90_m3p0_s1,1.0,1.0,90,3.0,1,perpendicular,FRAG_KILL,False,RADIAL_ONLY,,,0.4917,,0,140.2,False
TAG_f1p0_b1p0_t90_m3p0_s2,1.0,1.0,90,3.0,2,perpendicular,FRAG_KILL,False,RADIAL_ONLY,,,0.524,,0,420.5,False
TAG_f1p0_b1p0_t90_m3p0_s3,1.0,1.0,90,3.0,3,perpendicular,FRAG_KILL,False,RADIAL_ONLY,,,0.5031,,0,170.2,False
TAG_f1p0_b1p0_t90_m3p0_s4,1.0,1.0,90,3.0,4,perpendicular,FRAG_KILL,False,RADIAL_ONLY,,,0.4935,,0,140.1,False
TAG_f1p0_b1p0_t90_m3p0_s5,1.0,1.0,90,3.0,5,perpendicular,FRAG_KILL,False,RADIAL_ONLY,,,0.4899,,0,120.1,False
TAG_f1p0_b2p0_t0_m1p0_s1,1.0,2.0,0,1.0,1,longitudinal,FRAG_KILL,True,FULL,5.1096,0.9326,1.0801,0.1798,11,2252.6,False
TAG_f1p0_b2p0_t0_m1p0_s2,1.0,2.0,0,1.0,2,longitudinal,FRAG_KILL,True,FULL,5.6087,3.2072,1.056,0.1497,11,1661.9,False
TAG_f1p0_b2p0_t0_m1p0_s3,1.0,2.0,0,1.0,3,longitudinal,FRAG_KILL,True,FULL,4.809,0.0388,1.0151,0.11,10,560.6,False
TAG_f1p0_b2p0_t0_m1p0_s4,1.0,2.0,0,1.0,4,longitudinal,FRAG_KILL,True,FULL,4.8661,0.0258,1.023,0.13,11,921.0,False
