idx,sim_id,morph,f,beta,mach,p_ext,seed,lw,npk,wall,event,t_event,lw_genuine,collapsed,timed_out
176,RCE_f1.4_b1.0_m2.0_p0.3_s2,FULL,1.4,1.0,2.0,0.3,2,,1,1652,GRAV_FRAG,0.085,,True,False
177,RCE_f1.4_b1.0_m3.0_p0.0_s2,FULL,1.4,1.0,3.0,0.0,2,,1,271,DT_COLLAPSE,0.075,,True,False
178,RCE_f1.4_b1.0_m2.0_p0.5_s1,FULL,1.4,1.0,2.0,0.5,1,,1,1472,GRAV_FRAG,0.085,,True,False
179,RCE_f1.4_b1.0_m2.0_p0.3_s3,FULL,1.4,1.0,2.0,0.3,3,11.4062,2,1742,GRAV_FRAG,0.085,,True,False
180,RCE_f1.4_b1.0_m3.0_p0.1_s2,FULL,1.4,1.0,3.0,0.1,2,,1,271,DT_COLLAPSE,0.075,,True,False
181,RCE_f1.4_b1.0_m2.0_p0.5_s2,FULL,1.4,1.0,2.0,0.5,2,,1,1652,GRAV_FRAG,0.085,,True,False
182,RCE_f1.4_b1.0_m3.0_p0.0_s3,FULL,1.4,1.0,3.0,0.0,3,,1,571,DT_COLLAPSE,0.075,,True,False
183,RCE_f1.4_b1.0_m3.0_p0.3_s2,FULL,1.4,1.0,3.0,0.3,2,,1,271,DT_COLLAPSE,0.075,,True,False
184,RCE_f1.4_b1.0_m3.0_p0.1_s3,FULL,1.4,1.0,3.0,0.1,3,,1,571,DT_COLLAPSE,0.075,,True,False
185,RCE_f1.4_b1.0_m2.0_p0.5_s3,FULL,1.4,1.0,2.0,0.5,3,11.4062,2,1773,GRAV_FRAG,0.085,,True,False
186,RCE_f1.4_b1.0_m3.0_p0.5_s2,FULL,1.4,1.0,3.0,0.5,2,,1,271,DT_COLLAPSE,0.075,,True,False
187,RCE_f1.4_b1.0_m3.0_p0.3_s3,FULL,1.4,1.0,3.0,0.3,3,,1,571,DT_COLLAPSE,0.075,,True,False
188,RCE_f1.4_b1.0_m3.0_p0.0_s1,FULL,1.4,1.0,3.0,0.0,1,,1,1742,GRAV_FRAG,0.08,,True,False
189,RCE_f1.4_b1.0_m3.0_p0.5_s3,FULL,1.4,1.0,3.0,0.5,3,,1,571,DT_COLLAPSE,0.075,,True,False
190,RCE_f1.4_b1.0_m3.0_p0.1_s1,FULL,1.4,1.0,3.0,0.1,1,,1,1742,GRAV_FRAG,0.08,,True,False
