run_id,tag,f,beta,mturb,theta,seed,status,runtime_s,lW,lW_status,t_frag,morphology,tau_peak_max,tau_peak_mean,survives_0p1,n_peaks_final,n_peak_events,peak_analysis_status,n_athdf_purged,returncode
RTC_NC_f1p2_b2p0_m3p5_t0_s1,NC,1.2,2.0,3.5,0,1,failed,2652.665782690048,,no_athdf,0.316,RADIAL_COLLAPSE,0.21906712651252747,0.08980656628097806,True,5,7,ok,32,-2
RTC_NC_f1p2_b1p0_m3p5_t0_s5,NC,1.2,1.0,3.5,0,5,failed,3331.1183001995087,,no_athdf,0.281001,RADIAL_COLLAPSE,0.21987054497003555,0.12776035517454148,True,3,5,ok,29,-2
RTC_NC_f1p2_b1p0_m3p5_t0_s3,NC,1.2,1.0,3.5,0,3,failed,4054.5941071510315,,no_athdf,0.313001,RADIAL_COLLAPSE,0.24895690008997917,0.1328431386500597,True,4,6,ok,32,-2
RTC_NC_f1p0_b0p3_m4p0_t0_s1,NC,1.0,0.3,4.0,0,1,failed,708.346631526947,,no_athdf,0.284,RADIAL_COLLAPSE,0.19965701550245285,0.07982820698193141,True,4,7,ok,29,-2
RTC_NC_f1p0_b0p3_m4p0_t0_s2,NC,1.0,0.3,4.0,0,2,failed,497.4631645679474,,no_athdf,0.253,RADIAL_COLLAPSE,0.1992126703262329,0.07681663760117122,True,5,7,ok,26,-2
RTC_NC_f1p0_b0p3_m4p0_t0_s3,NC,1.0,0.3,4.0,0,3,failed,1552.3702700138092,,no_athdf,0.262,RADIAL_COLLAPSE,0.1994248442351818,0.12974102273583413,True,3,5,ok,27,-2
RTC_NC_f1p2_b2p0_m3p5_t0_s3,NC,1.2,2.0,3.5,0,3,failed,5003.548732757568,,no_athdf,0.319,RADIAL_COLLAPSE,0.24939299747347832,0.1330430724968513,True,4,6,ok,32,-2
RTC_NC_f1p2_b2p0_m3p5_t0_s2,NC,1.2,2.0,3.5,0,2,failed,7204.090118646622,7.864583333333334,ok:5_peaks,0.26000112295150757,FULL,0.19894807040691376,0.08814739932616551,True,5,6,ok,27,-9
RTC_NC_f1p2_b2p0_m3p5_t0_s5,NC,1.2,2.0,3.5,0,5,failed,5094.189576387405,,no_athdf,0.29,RADIAL_COLLAPSE,0.2291560359299183,0.1335962973535061,True,3,5,ok,30,-2
RTC_NC_f1p0_b0p3_m4p0_t0_s6,NC,1.0,0.3,4.0,0,6,failed,180.89737629890442,,no_athdf,0.288016,RADIAL_COLLAPSE,0.19951632618904114,0.15983403474092484,True,4,4,ok,29,-2
RTC_NC_f1p2_b2p0_m3p5_t0_s4,NC,1.2,2.0,3.5,0,4,failed,6134.438061952591,,no_athdf,0.307001,RADIAL_COLLAPSE,0.22928445786237717,0.1337240070104599,True,3,5,ok,31,-2
RTC_NC_f1p0_b0p3_m4p0_t0_s4,NC,1.0,0.3,4.0,0,4,failed,4205.038873434067,,no_athdf,0.286,RADIAL_COLLAPSE,0.21999255940318108,0.12389261201024056,True,3,5,ok,29,-2
RTC_NC_f1p2_b2p0_m3p5_t0_s6,NC,1.2,2.0,3.5,0,6,failed,7204.579114437103,3.75,ok:4_peaks,0.3200004994869232,FULL,0.22981803864240646,0.18459662608802319,True,4,4,ok,33,-9
RTC_NC_f1p0_b0p3_m4p0_t0_s5,NC,1.0,0.3,4.0,0,5,failed,3255.288913965225,,no_athdf,0.262045,RADIAL_COLLAPSE,0.2093583233654499,0.12159485295414925,True,3,5,ok,27,-2
